Country,patents_number,Year,ISO,Total Deaths,total_affected,total_damage,Tertiary,GDP,Population,FDI,consumption
portugal,21.5,2018,prt,13.0,417.0,134611.0,65.0279083251953,23562.55452281871,10283822.0,7846086577.9396,81.2468512427404
portugal,24.0,2019,prt,31.0,28.0,0.0,65.9340515136719,23330.817288931587,10286263.0,10320042522.1049,81.055311958104
sweden,0.0,1977,swe,13.0,50.0,873981.0,30.6318702697754,11448.512953810325,8251540.0,81453706.8607516,76.5137946623561
sweden,41.0,1985,swe,11.0,0.0,15780.0,30.3016700744629,13666.81803488941,8350386.0,392953911.939895,73.5632112313878
sweden,45.5,1987,swe,7.0,100.0,0.0,28.1111698150635,21792.415694620006,8397804.0,639212993.084742,73.9199097093715
sweden,53.0,1989,swe,16.0,0.0,0.0,29.6769504547119,25662.31678628413,8492964.0,1812004570.52244,72.1751699987408
sweden,83.0,1990,swe,0.0,0.0,22398.0,30.9680404663086,30593.724133841635,8558835.0,1982424727.63651,72.7803120812743
sweden,77.8333,1992,swe,13.0,22.0,0.0,35.936279296875,32800.79494681995,8668067.0,-5418689.91784203,76.7963189814601
sweden,134.2333,1995,swe,0.0,0.0,58000.0,43.1767883300781,30283.09835494997,8826939.0,14939375567.4952,73.5058656693796
sweden,187.0,1998,swe,63.0,162.0,0.0,53.207878112793,30596.649721311038,8850974.0,23334866534.9283,72.7046943548368
sweden,177.619,1999,swe,3.0,0.0,281103.0,64.9735794067383,30940.97326001364,8857874.0,62910430888.1709,72.9005685155271
sweden,191.8333,2002,swe,1.0,350.0,0.0,74.7414321899414,29899.12360125379,8924958.0,18381645407.9827,72.5850698293061
sweden,164.8333,2003,swe,0.0,0.0,0.0,80.4902877807617,37321.7786737336,8958229.0,6007683415.88431,72.6483798530155
sweden,190.3,2005,swe,7.0,0.0,4195947.0,81.7390899658203,43437.13092856728,9029572.0,20782686615.8207,71.4415310371415
sweden,515.1667,2013,swe,7.0,0.0,0.0,65.7820892333984,61126.943196397886,9600379.0,1316837632.12475,73.2389211627158
sweden,474.0,2018,swe,0.0,0.0,118877.0,73.4083786010742,54589.06038606061,10175214.0,-1368759168.53668,71.7566782221342
sweden,383.4667,2020,swe,1.0,0.0,0.0,79.1196365356445,52837.9039778149,10353442.0,18904841095.6675,70.4195343966841
sweden,303.4167,2021,swe,0.0,13500.0,75602.0,85.9426193237305,61143.221242804735,10415811.0,52477900209.9333,69.3878748752861
north macedonia,0.0,1995,mkd,0.0,1500.0,470527.0,20.7036800384521,2372.5436922360036,1983964.0,9490000.0,84.6118298927155
north macedonia,0.0,2000,mkd,0.0,0.0,23050.0,23.3065490722656,1861.8990072236859,2026350.0,217507099.15808,92.3871689067992
north macedonia,0.0,2001,mkd,25.0,6.0,0.0,24.5885200500488,1823.0226678948559,2034882.0,469570706.3984,95.7261096781606
north macedonia,1.0,2002,mkd,0.0,1850.0,0.0,26.6909408569336,1989.1353829553539,2020157.0,114193471.4194,98.1011752603633
north macedonia,2.6667,2003,mkd,2.0,4750.0,0.0,26.9667701721191,2440.4788147133936,2026773.0,119041753.232,97.8272681935585
