Country,Patents number,Year,ISO,GDP,Population,Patent per Capita,Disaster Type,Total Deaths,Total Affected,"Total Damage, Adjusted ('000 US$)",after chock,is Germany,After Chock Gemrany
germany,2914.5929,2018,deu,47939.27828844958,82905782.0,3.5155484089155566e-05,extreme temperature,,,,1,1,1
germany,2978.9762,2019,deu,46793.68676159953,83092962.0,3.585112539374875e-05,storm,1.0,,,1,1,1
germany,2978.9762,2019,deu,46793.68676159953,83092962.0,3.585112539374875e-05,extreme temperature,4.0,,,1,1,1
germany,2978.9762,2019,deu,46793.68676159953,83092962.0,3.585112539374875e-05,extreme temperature,,,,1,1,1
germany,2557.1786,2020,deu,46772.825350753665,83160871.0,3.074978134849021e-05,storm,,33.0,,1,1,1
germany,2524.65,2021,deu,51203.554473104334,83196078.0,3.0345781444168558e-05,storm,,600.0,,1,1,1
germany,2524.65,2021,deu,51203.554473104334,83196078.0,3.0345781444168558e-05,flood,197.0,1000.0,43201120.0,1,1,1
germany,2524.65,2021,deu,51203.554473104334,83196078.0,3.0345781444168558e-05,storm,1.0,4.0,,1,1,1
belgium,2.0,1984,bel,8457.268803163739,9855372.0,2.02935008440067e-07,storm,,,,0,0,0
belgium,1.5,1985,bel,8750.818512505355,9858308.0,1.5215592777178397e-07,storm,,,,0,0,0
belgium,1.5,1985,bel,8750.818512505355,9858308.0,1.5215592777178397e-07,extreme temperature,,,,0,0,0
belgium,10.5,1990,bel,20600.375278982698,9967379.0,1.0534364149291404e-06,storm,10.0,,783947.0,0,0,0
belgium,10.5,1990,bel,20600.375278982698,9967379.0,1.0534364149291404e-06,storm,,,403173.0,0,0,0
belgium,10.5,1990,bel,20600.375278982698,9967379.0,1.0534364149291404e-06,storm,,,134391.0,0,0,0
belgium,10.5,1990,bel,20600.375278982698,9967379.0,1.0534364149291404e-06,storm,,,134391.0,0,0,0
belgium,10.5,1990,bel,20600.375278982698,9967379.0,1.0534364149291404e-06,storm,5.0,,537564.0,0,0,0
belgium,10.5,1990,bel,20600.375278982698,9967379.0,1.0534364149291404e-06,storm,1.0,,201586.0,0,0,0
belgium,16.0,1993,bel,22283.936021355126,10084475.0,1.5865972199841836e-06,flood,,600.0,,0,0,0
belgium,16.0,1993,bel,22283.936021355126,10084475.0,1.5865972199841836e-06,flood,,,34440.0,0,0,0
belgium,27.0,1994,bel,24208.554793144656,10115603.0,2.669143895821139e-06,flood,,135.0,,0,0,0
belgium,26.5,1995,bel,28413.826438736807,10136811.0,2.614234397780525e-06,storm,6.0,800.0,192052.0,0,0,0
belgium,38.0,1998,bel,25338.44329349042,10203008.0,3.7243918656145325e-06,flood,1.0,140.0,17953.0,0,0,0
belgium,38.0,1998,bel,25338.44329349042,10203008.0,3.7243918656145325e-06,storm,,,898.0,0,0,0
belgium,61.8333,1999,bel,25252.80190665645,10226419.0,6.046427395552637e-06,storm,,905.0,854.0,0,0,0
belgium,61.8333,1999,bel,25252.80190665645,10226419.0,6.046427395552637e-06,storm,2.0,,87845.0,0,0,0
belgium,79.15,2002,bel,25006.191397109003,10332785.0,7.660083898000395e-06,flood,,600.0,,0,0,0
belgium,79.15,2002,bel,25006.191397109003,10332785.0,7.660083898000395e-06,flood,,1200.0,,0,0,0
belgium,79.15,2002,bel,25006.191397109003,10332785.0,7.660083898000395e-06,flood,,600.0,,0,0,0
belgium,79.15,2002,bel,25006.191397109003,10332785.0,7.660083898000395e-06,storm,5.0,,8135.0,0,0,0
belgium,79.15,2002,bel,25006.191397109003,10332785.0,7.660083898000395e-06,flood,2.0,,,0,0,0
belgium,77.25,2003,bel,30655.209267902366,10376133.0,7.44497010591518e-06,flood,,,,1,0,0
belgium,77.25,2003,bel,30655.209267902366,10376133.0,7.44497010591518e-06,extreme temperature,1175.0,,,1,0,0
belgium,98.75,2005,bel,36809.70134036188,10478617.0,9.423953561810685e-06,flood,,210.0,,1,0,0
belgium,98.75,2005,bel,36809.70134036188,10478617.0,9.423953561810685e-06,extreme temperature,2.0,,,1,0,0
belgium,98.75,2005,bel,36809.70134036188,10478617.0,9.423953561810685e-06,extreme temperature,,,,1,0,0
belgium,91.7833,2006,bel,38705.10679591471,10547958.0,8.701523081529145e-06,extreme temperature,940.0,,,1,0,0
belgium,91.75,2007,bel,44319.16544881302,10625700.0,8.63472524163114e-06,storm,2.0,2.0,635155.0,1,0,0
belgium,139.25,2008,bel,48303.397956285975,10709973.0,1.3001900191531763e-05,storm,,,,1,0,0
belgium,131.3333,2009,bel,44760.29124437094,10796493.0,1.2164440804991029e-05,extreme temperature,1.0,,,1,0,0
belgium,148.4833,2010,bel,44184.946353965024,10895586.0,1.3627839750886278e-05,storm,1.0,,214738.0,1,0,0
belgium,148.4833,2010,bel,44184.946353965024,10895586.0,1.3627839750886278e-05,flood,3.0,690.0,319619.0,1,0,0
belgium,148.4833,2010,bel,44184.946353965024,10895586.0,1.3627839750886278e-05,storm,,,,1,0,0
belgium,162.9167,2011,bel,47410.566927746695,11038264.0,1.4759268305233503e-05,flood,,,,1,0,0
belgium,162.9167,2011,bel,47410.566927746695,11038264.0,1.4759268305233503e-05,storm,5.0,71.0,128803.0,1,0,0
belgium,184.8333,2012,bel,44670.56068451006,11106932.0,1.664125610924781e-05,extreme temperature,3.0,,,1,0,0
belgium,164.1667,2013,bel,46757.95185596013,11159407.0,1.4711059467586404e-05,storm,,,,1,0,0
belgium,164.1667,2013,bel,46757.95185596013,11159407.0,1.4711059467586404e-05,storm,,,,1,0,0
belgium,162.5833,2014,bel,47764.071512082526,11209057.0,1.450463674152072e-05,storm,,,,1,0,0
belgium,167.1667,2015,bel,41008.29671947198,11274196.0,1.4827372169155122e-05,extreme temperature,410.0,,,1,0,0
belgium,168.6667,2016,bel,42012.62271910272,11331422.0,1.4884866171253705e-05,flood,1.0,,,1,0,0
belgium,168.6667,2016,bel,42012.62271910272,11331422.0,1.4884866171253705e-05,storm,1.0,,,1,0,0
belgium,172.5,2018,bel,47544.98114727487,11427054.0,1.5095754338782331e-05,storm,1.0,,,1,0,0
belgium,172.5,2018,bel,47544.98114727487,11427054.0,1.5095754338782331e-05,extreme temperature,,,,1,0,0
belgium,193.8333,2019,bel,46641.7116578097,11488980.0,1.687123661108297e-05,extreme temperature,128.0,,,1,0,0
belgium,193.8333,2019,bel,46641.7116578097,11488980.0,1.687123661108297e-05,extreme temperature,400.0,,,1,0,0
belgium,193.8333,2019,bel,46641.7116578097,11488980.0,1.687123661108297e-05,extreme temperature,188.0,,,1,0,0
belgium,150.1714,2020,bel,45517.90381820186,11538604.0,1.3014693978578345e-05,storm,,,,1,0,0
belgium,150.1714,2020,bel,45517.90381820186,11538604.0,1.3014693978578345e-05,extreme temperature,1687.0,,,1,0,0
belgium,149.7833,2021,bel,51268.388037359815,11592952.0,1.2920203585764868e-05,flood,39.0,101950.0,2160056.0,1,0,0
belgium,149.7833,2021,bel,51268.388037359815,11592952.0,1.2920203585764868e-05,storm,,,,1,0,0
belgium,149.7833,2021,bel,51268.388037359815,11592952.0,1.2920203585764868e-05,storm,,,,1,0,0
